2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,
1529,1529,1529,1529,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,8.7
1549,1549,1549,1549,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,8.4
1559,1559,1559,1559,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,8.2
1567,1567,1567,1567,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,7.9
1585,1585,1585,1585,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,7.5
1622,1622,1622,1622,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,6.9
1669,1669,1669,1669,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,6.2
1705,1705,1705,1705,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1743,1743,1743,1743,1743,1743,1743,1743,1743,1743,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817,5.5
1735,1735,1735,1735,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,4.8
1751,1751,1751,1751,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,4
