type,capacity,thresh,sen-to-peers,state,windspeed_avg,windspeed,yearly_demand(MWh),invested,invest_year,subsidy at invest year,estimation_2019,estimation_2020,estimation_2021,estimation_2022,estimation_2023,estimation_2024,estimation_2025,estimation_2026,estimation_2027,estimation_2028,estimation_2029,estimation_2030,estimation_2031,estimation_2032,estimation_2033,estimation_2034,estimation_2035,estimation_2036,estimation_2037,estimation_2038,estimation_2039,estimation_2040,estimation_2041,estimation_2042,estimation_2043,estimation_2044,estimation_2045,estimation_2046,estimation_2047,estimation_2048,estimation_2049,estimation_2050
L,31.5,0.04757954402940303,1.0,Berlin,6.7,6.69291363166523,274669.452542925,True,2040,39.879999999999995,"(-16.719296578577833, -0.14165640062774465, False)","(-15.936792719025666, -0.13513971584140494, False)","(-15.00395575990562, -0.1275740132745662, False)","(-14.374775958151577, -0.12229290515507968, False)","(-13.781026903644266, -0.11731075410301106, False)","(-13.21372102210479, -0.11255127365532634, False)","(-12.666284025616328, -0.10795858124220223, False)","(-12.084551120392987, -0.10311406254666956, False)","(-11.511529597257315, -0.09833868102854311, False)","(-10.944149258176047, -0.09360588433900618, False)","(-10.379931965758754, -0.08889403817161344, False)","(-9.81683413935635, -0.0841850910286721, False)","(-9.05190460784962, -0.0776276884252181, False)","(-8.593608647896806, -0.07373914360669089, False)","(-6.6854557439276485, -0.05739998897673659, False)","(-4.778404735217258, -0.04105207137382345, False)","(-2.8716791415261342, -0.024687275267153117, False)","(-0.9153531576261046, -0.007877882429913111, False)","(1.0444099461152148, 0.008999121879278241, False)","(3.0082925892973593, 0.02595276232149514, False)","(4.9769401725473905, 0.04299200942146824, False)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)","(6.950971243890522, 0.060125887252833916, True)"
F,28.0,0.0627875000453556,0.3432197498779953,Schleswig-Holstein,7.3,7.175391691703282,244150.62448259996,True,2024,6.88,"(1.391492668949342, 0.015694723510728047, False)","(2.0870516552179357, 0.02356332427573212, False)","(3.922433048502259, 0.04493937260348287, False)","(4.481703983394741, 0.051381476527101275, False)","(5.00948092073457, 0.05747287127835167, False)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)","(5.5137528154363284, 0.06330525853006591, True)"
T,45.5,0.11545922491688329,0.7751519024087321,Berlin,6.7,6.891955551905728,396744.764784225,True,2045,55.879999999999995,"(-24.15009505794574, -0.14165640062774457, False)","(-23.019811705259272, -0.1351397158414048, False)","(-21.67238054208594, -0.1275740132745664, False)","(-20.76356527288565, -0.12229290515507986, False)","(-19.905927749708425, -0.1173107541030113, False)","(-19.086485920818063, -0.1125512736553265, False)","(-18.295743592556946, -0.10795858124220238, False)","(-17.45546272945657, -0.1031140625466697, False)","(-16.627764973816156, -0.09833868102854329, False)","(-15.808215595143215, -0.09360588433900638, False)","(-14.993235061651575, -0.08889403817161368, False)","(-14.179871534625876, -0.08418509102867232, False)","(-13.074973322449441, -0.07762768842521804, False)","(-12.412990269184274, -0.07373914360669087, False)","(-9.656769407895489, -0.057399988976736566, False)","(-6.902140173091583, -0.041052071373823384, False)","(-4.147980982204404, -0.024687275267153044, False)","(-1.3221767832377078, -0.007877882429913117, False)","(1.508592144388644, 0.008999121879278241, False)","(4.345311517873963, 0.02595276232149513, False)","(7.188913582568464, 0.0429920094214683, False)","(10.04029179673075, 0.060125887252833875, False)","(11.225562784031391, 0.06665063310140887, False)","(13.939820649383627, 0.08281312730588249, False)","(16.65664993970483, 0.09901202510842731, False)","(19.3765027513109, 0.11525162147229549, False)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)"
L,52.5,0.04310147569319333,1.0,Brandenburg,6.7,6.730859125110006,457782.420904875,True,2040,39.879999999999995,"(-27.865494297629716, -0.1416564006277446, False)","(-26.5613211983761, -0.13513971584140488, False)","(-25.00659293317609, -0.12757401327456647, False)","(-23.957959930252677, -0.12229290515507993, False)","(-22.968378172740483, -0.11731075410301127, False)","(-22.022868370174688, -0.11255127365532651, False)","(-21.110473376027244, -0.10795858124220238, False)","(-20.140918533988344, -0.1031140625466697, False)","(-19.18588266209556, -0.09833868102854329, False)","(-18.240248763626784, -0.09360588433900638, False)","(-17.29988660959796, -0.08889403817161362, False)","(-16.361390232260618, -0.08418509102867228, False)","(-15.08650767974935, -0.077627688425218, False)","(-14.322681079827987, -0.07373914360669076, False)","(-11.142426239879395, -0.05739998897673649, False)","(-7.964007892028735, -0.04105207137382331, False)","(-4.786131902543536, -0.02468727526715301, False)","(-1.5255885960434903, -0.007877882429913021, False)","(1.7406832435253774, 0.008999121879278342, False)","(5.013820982162281, 0.025952762321495213, False)","(8.294900287579006, 0.042992009421468344, False)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)","(11.584952073150882, 0.060125887252833965, True)"
F,28.0,0.06755203718344836,0.4443547893775206,Berlin,6.7,6.688369622597842,244150.62448259996,True,2040,39.879999999999995,"(-14.861596958735863, -0.14165640062774476, False)","(-14.166037972467269, -0.13513971584140505, False)","(-13.336849564360582, -0.12757401327456644, False)","(-12.7775786294681, -0.12229290515507996, False)","(-12.249801692128274, -0.1173107541030114, False)","(-11.745529797426512, -0.1125512736553266, False)","(-11.258919133881214, -0.10795858124220253, False)","(-10.741823218127136, -0.10311406254666987, False)","(-10.232470753117642, -0.0983386810285434, False)","(-9.728132673934292, -0.09360588433900642, False)","(-9.226606191785592, -0.08889403817161375, False)","(-8.726074790539009, -0.0841850910286724, False)","(-8.046137429199643, -0.07762768842521793, False)","(-7.638763242574913, -0.07373914360669065, False)","(-5.942627327935667, -0.0573999889767364, False)","(-4.247470875748653, -0.04105207137382326, False)","(-2.552603681356545, -0.02468727526715294, False)","(-0.8136472512231846, -0.007877882429912926, False)","(0.9283643965468725, 0.008999121879278388, False)","(2.6740378571532193, 0.025952762321495248, False)","(4.423946820042148, 0.04299200942146847, False)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)","(6.178641105680482, 0.0601258872528341, True)"
T,45.5,0.10651230775979899,0.9415083481039067,Saarland,6.3,6.015953541707945,396744.764784225,False,2051,56.879999999999995,"(-66.44355465941644, -0.3122683928449454, False)","(-65.31327130672994, -0.3071624555466799, False)","(-65.40887895047973, -0.30619648866626553, False)","(-64.50006368127946, -0.3020768641955376, False)","(-63.642426158102225, -0.29820000952415004, False)","(-62.82298432921186, -0.2945054774841456, False)","(-62.03224200095075, -0.2909490791259434, False)","(-61.191961137850356, -0.2872598424176559, False)","(-60.36426338220995, -0.2836357046899771, False)","(-59.54471400353702, -0.28005612613996855, False)","(-58.72973347004537, -0.27650452645558343, False)","(-57.91636994301968, -0.2729672243322925, False)","(-59.896151933717164, -0.2782593069764238, False)","(-59.23416888045199, -0.27530583998946906, False)","(-56.47794801916321, -0.2626177588342634, False)","(-53.723318784359314, -0.24993108560203078, False)","(-50.96915959347213, -0.2372399916829359, False)","(-48.14335539450543, -0.2242822568003579, False)","(-45.312586466879075, -0.21128798944579552, False)","(-42.47586709339376, -0.19825121999897666, False)","(-39.63226502869926, -0.18516610101166356, False)","(-36.78088681453696, -0.17202682913330292, False)","(-37.93327200949047, -0.174339492624958, False)","(-35.21901414413824, -0.16193583122938912, False)","(-32.50218485381703, -0.1495127424008833, False)","(-29.782332042210967, -0.13706745149551627, False)","(-29.15613700208768, -0.13425368430404344, False)","(-28.526053135964702, -0.13142248099243986, False)","(-27.891658900652278, -0.1285718179300759, False)","(-27.25253552605808, -0.1256996702569344, False)","(-26.608264068023697, -0.1228039969326131, False)","(-25.958422782293205, -0.1198827270968049, False)"
L,52.5,0.04710253423637487,1.0,Bayern,5.8,5.796778555528177,457782.420904875,False,2051,56.879999999999995,"(-76.66563999163436, -0.3122683928449454, False)","(-75.36146689238075, -0.30716245554668, False)","(-75.47178340439977, -0.3061964886662657, False)","(-74.42315040147635, -0.30207686419553775, False)","(-73.43356864396416, -0.2982000095241502, False)","(-72.48805884139837, -0.2945054774841457, False)","(-71.57566384725094, -0.29094907912594353, False)","(-70.60610900521203, -0.2872598424176561, False)","(-69.65107313331923, -0.28363570468997723, False)","(-68.70543923485046, -0.2800561261399687, False)","(-67.76507708082165, -0.27650452645558365, False)","(-66.8265807034843, -0.2729672243322926, False)","(-69.11094453890445, -0.2782593069764239, False)","(-68.34711793898309, -0.2753058399894691, False)","(-65.16686309903449, -0.2626177588342634, False)","(-61.98844475118382, -0.24993108560203073, False)","(-58.810568761698626, -0.23723999168293597, False)","(-55.550025455198586, -0.22428225680035796, False)","(-52.28375361562971, -0.21128798944579555, False)","(-49.010615876992816, -0.1982512199989767, False)","(-45.72953657157609, -0.18516610101166364, False)","(-42.43948478600421, -0.17202682913330297, False)","(-43.76916001095058, -0.1743394926249581, False)","(-40.637324012467225, -0.1619358312293892, False)","(-37.50252098517353, -0.1495127424008834, False)","(-34.36422927947422, -0.13706745149551636, False)","(-33.64169654087042, -0.1342536843040435, False)","(-32.91467669534392, -0.13142248099243997, False)","(-32.18268334690653, -0.1285718179300761, False)","(-31.44523329929783, -0.12569967025693457, False)","(-30.701843155411996, -0.12280399693261322, False)","(-29.952026287261422, -0.11988272709680502, False)"
F,21.0,0.06925079574207918,0.33008174509895605,Thüringen,6.4,6.434978893285838,183112.96836194998,True,2039,35.879999999999995,"(-11.146197719051878, -0.1416564006277446, False)","(-10.624528479350435, -0.1351397158414049, False)","(-10.002637173270424, -0.12757401327456633, False)","(-9.58318397210106, -0.12229290515507979, False)","(-9.187351269096187, -0.11731075410301121, False)","(-8.809147348069866, -0.11255127365532641, False)","(-8.444189350410888, -0.10795858124220227, False)","(-8.05636741359533, -0.1031140625466696, False)","(-7.67435306483821, -0.09833868102854314, False)","(-7.296099505450708, -0.09360588433900631, False)","(-6.919954643839176, -0.08889403817161354, False)","(-6.544556092904242, -0.08418509102867221, False)","(-6.034603071899749, -0.07762768842521812, False)","(-5.729072431931207, -0.07373914360669091, False)","(-4.456970495951765, -0.05739998897673658, False)","(-3.1856031568115024, -0.04105207137382341, False)","(-1.9144527610174193, -0.024687275267153065, False)","(-0.6102354384174044, -0.007877882429913129, False)","(0.6962732974101418, 0.00899912187927822, False)","(2.0055283928649024, 0.02595276232149508, False)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)","(3.3179601150315934, 0.042992009421468226, True)"
T,45.5,0.12008362635365506,0.7427483181726473,Mecklenburg-Vorpommern,7.1,6.80055649896293,396744.764784225,True,2045,55.879999999999995,"(-24.15009505794574, -0.14165640062774457, False)","(-23.019811705259272, -0.1351397158414048, False)","(-21.67238054208594, -0.1275740132745664, False)","(-20.76356527288565, -0.12229290515507986, False)","(-19.905927749708425, -0.1173107541030113, False)","(-19.086485920818063, -0.1125512736553265, False)","(-18.295743592556946, -0.10795858124220238, False)","(-17.45546272945657, -0.1031140625466697, False)","(-16.627764973816156, -0.09833868102854329, False)","(-15.808215595143215, -0.09360588433900638, False)","(-14.993235061651575, -0.08889403817161368, False)","(-14.179871534625876, -0.08418509102867232, False)","(-13.074973322449441, -0.07762768842521804, False)","(-12.412990269184274, -0.07373914360669087, False)","(-9.656769407895489, -0.057399988976736566, False)","(-6.902140173091583, -0.041052071373823384, False)","(-4.147980982204404, -0.024687275267153044, False)","(-1.3221767832377078, -0.007877882429913117, False)","(1.508592144388644, 0.008999121879278241, False)","(4.345311517873963, 0.02595276232149513, False)","(7.188913582568464, 0.0429920094214683, False)","(10.04029179673075, 0.060125887252833875, False)","(11.225562784031391, 0.06665063310140887, False)","(13.939820649383627, 0.08281312730588249, False)","(16.65664993970483, 0.09901202510842731, False)","(19.3765027513109, 0.11525162147229549, False)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)","(20.002697791434183, 0.11905436949164111, True)"
L,42.0,0.04875087287336146,1.0,Baden-Württemberg,6.1,6.126326719188506,366225.93672389997,False,2051,56.879999999999995,"(-61.3325119933075, -0.31226839284494545, False)","(-60.289173513904615, -0.3071624555466801, False)","(-60.377426723519775, -0.3061964886662656, False)","(-59.53852032118106, -0.30207686419553775, False)","(-58.7468549151713, -0.29820000952415016, False)","(-57.99044707311866, -0.29450547748414563, False)","(-57.26053107780072, -0.2909490791259435, False)","(-56.48488720416961, -0.2872598424176561, False)","(-55.72085850665535, -0.28363570468997706, False)","(-54.96435138788034, -0.28005612613996855, False)","(-54.21206166465728, -0.2765045264555834, False)","(-53.46126456278742, -0.27296722433229254, False)","(-55.288755631123536, -0.27825930697642387, False)","(-54.67769435118645, -0.275305839989469, False)","(-52.133490479227575, -0.26261775883426336, False)","(-49.59075580094704, -0.24993108560203064, False)","(-47.04845500935888, -0.23723999168293583, False)","(-44.44002036415884, -0.22428225680035782, False)","(-41.82700289250376, -0.2112879894457955, False)","(-39.20849270159424, -0.19825121999897669, False)","(-36.58362925726085, -0.18516610101166356, False)","(-33.95158782880336, -0.17202682913330294, False)","(-35.01532800876044, -0.17433949262495804, False)","(-32.509859209973776, -0.1619358312293892, False)","(-30.002016788138818, -0.1495127424008834, False)","(-27.49138342357936, -0.13706745149551633, False)","(-26.91335723269633, -0.1342536843040435, False)","(-26.331741356275124, -0.13142248099243994, False)","(-25.746146677525203, -0.12857181793007605, False)","(-25.15618663943825, -0.12569967025693454, False)","(-24.561474524329576, -0.12280399693261314, False)","(-23.96162102980914, -0.11988272709680506, False)"
